sku,field,change,original_value,new_value
SK-2400,category,matched to fixed category list,paper & office,Paper & Office
SK-2408,product_name,standardised casing/spacing,Black Lever Arch File Foolscap,Black Lever Arch File Foolscap
SK-2408,category,matched to fixed category list,filing,Filing
SK-2416,product_name,standardised casing/spacing,Grey Lever Arch File A4,Grey Lever Arch File A4
SK-2416,category,matched to fixed category list,filing & storage,Filing
SK-2416,price,"currency symbol removed, 2dp",$44.73,44.73
SK-2424,category,matched to fixed category list,Paper and Office,Paper & Office
SK-2432,product_name,standardised casing/spacing,copier paper a4 120gsm,Copier Paper A4 120gsm
SK-2432,category,matched to fixed category list,paper&office,Paper & Office
SK-2440,product_name,standardised casing/spacing,BLACK LEVER ARCH FILE A4,Black Lever Arch File A4
SK-2440,category,matched to fixed category list,Filing/Storage,Filing
SK-2440,price,"currency symbol removed, 2dp",$10.77,10.77
SK-2448,product_name,standardised casing/spacing,"RED BALLPOINT, FINE","Red Ballpoint, Fine"
SK-2448,category,matched to fixed category list,Writing,Writing
SK-2456,category,matched to fixed category list,Paper and Office,Paper & Office
SK-2464,category,matched to fixed category list,desk acc.,Desk
SK-2464,price,"currency symbol removed, 2dp",$44.13,44.13
SK-2472,category,matched to fixed category list,paper & office,Paper & Office
SK-2480,category,matched to fixed category list,Desk Accessories,Desk
SK-2480,price,"currency symbol removed, 2dp",$45.76,45.76
SK-2488,category,matched to fixed category list,filing,Filing
SK-2496,product_name,standardised casing/spacing,COPIER PAPER A5 120GSM,Copier Paper A5 120gsm
SK-2496,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2504,category,matched to fixed category list,writing tools,Writing
SK-2504,price,"currency symbol removed, 2dp",$18.17,18.17
SK-2512,product_name,standardised casing/spacing,MESH DESK ORGANISER,Mesh Desk Organiser
SK-2512,category,matched to fixed category list,DESK,Desk
SK-2512,price,"currency symbol removed, 2dp",$58.29,58.29
SK-2520,product_name,standardised casing/spacing,"black ballpoint, broad","Black Ballpoint, Broad"
SK-2520,category,matched to fixed category list,writing tools,Writing
SK-2528,product_name,standardised casing/spacing,STEEL DESK ORGANISER,Steel Desk Organiser
SK-2528,category,matched to fixed category list,Desk Accessories,Desk
SK-2536,product_name,standardised casing/spacing,"RED BALLPOINT, MEDIUM","Red Ballpoint, Medium"
SK-2536,category,matched to fixed category list,writing tools,Writing
SK-2544,category,matched to fixed category list,writing tools,Writing
SK-2544,price,"currency symbol removed, 2dp",$82.83,82.83
SK-2552,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-2552,category,matched to fixed category list,desk acc.,Desk
SK-2552,price,"currency symbol removed, 2dp",$50.40,50.40
SK-2560,product_name,standardised casing/spacing,Green Lever Arch File Foolscap,Green Lever Arch File Foolscap
SK-2560,category,matched to fixed category list,Filing/Storage,Filing
SK-2568,product_name,standardised casing/spacing,acrylic desk organiser,Acrylic Desk Organiser
SK-2568,category,matched to fixed category list,desk acc.,Desk
SK-2568,price,"currency symbol removed, 2dp",$23.50,23.50
SK-2576,product_name,standardised casing/spacing,"Blue Ballpoint, Fine","Blue Ballpoint, Fine"
SK-2576,category,matched to fixed category list,writing,Writing
SK-2576,price,"currency symbol removed, 2dp",$78.66,78.66
SK-2584,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2592,product_name,standardised casing/spacing,Blue Lever Arch File Foolscap,Blue Lever Arch File Foolscap
SK-2592,category,matched to fixed category list,Filing/Storage,Filing
SK-2592,price,"currency symbol removed, 2dp",$43.22,43.22
SK-2600,category,matched to fixed category list,WRITING,Writing
SK-2608,product_name,standardised casing/spacing,copier paper a3 70gsm,Copier Paper A3 70gsm
SK-2608,category,matched to fixed category list,Paper and Office,Paper & Office
SK-2616,product_name,standardised casing/spacing,"Black  Ballpoint,  Broad","Black Ballpoint, Broad"
SK-2616,category,matched to fixed category list,writing,Writing
SK-2624,category,matched to fixed category list,filing,Filing
SK-2632,product_name,standardised casing/spacing,green lever arch file foolscap,Green Lever Arch File Foolscap
SK-2632,category,matched to fixed category list,filing,Filing
SK-2640,product_name,standardised casing/spacing,"Green Ballpoint, Broad","Green Ballpoint, Broad"
SK-2640,category,matched to fixed category list,writing tools,Writing
SK-2648,category,matched to fixed category list,desk,Desk
SK-2648,price,"currency symbol removed, 2dp",$19.41,19.41
SK-2656,product_name,standardised casing/spacing,Grey Lever Arch File Foolscap,Grey Lever Arch File Foolscap
SK-2656,category,matched to fixed category list,filing & storage,Filing
SK-2664,product_name,standardised casing/spacing,Copier Paper A4 100gsm,Copier Paper A4 100gsm
SK-2664,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2672,product_name,standardised casing/spacing,COPIER PAPER LETTER 80GSM,Copier Paper Letter 80gsm
SK-2672,category,matched to fixed category list,paper&office,Paper & Office
SK-2680,category,matched to fixed category list,writing,Writing
SK-2688,product_name,standardised casing/spacing,Black Lever Arch File Foolscap,Black Lever Arch File Foolscap
SK-2688,category,matched to fixed category list,Filing/Storage,Filing
SK-2696,product_name,standardised casing/spacing,Black Lever Arch File Foolscap,Black Lever Arch File Foolscap
SK-2696,category,matched to fixed category list,filing,Filing
SK-2704,product_name,standardised casing/spacing,Copier Paper A5 70gsm,Copier Paper A5 70gsm
SK-2704,category,matched to fixed category list,paper & office,Paper & Office
SK-2712,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2712,price,"currency symbol removed, 2dp",$18.39,18.39
SK-2720,product_name,standardised casing/spacing,copier paper a3 80gsm,Copier Paper A3 80gsm
SK-2720,category,matched to fixed category list,Paper and Office,Paper & Office
SK-2728,product_name,standardised casing/spacing,Copier  Paper  Legal  70gsm,Copier Paper Legal 70gsm
SK-2728,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-2736,product_name,standardised casing/spacing,WOODEN DESK ORGANISER,Wooden Desk Organiser
SK-2736,category,matched to fixed category list,Desk Accessories,Desk
SK-2744,product_name,standardised casing/spacing,COPIER PAPER A5 80GSM,Copier Paper A5 80gsm
SK-2744,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2752,category,matched to fixed category list,writing tools,Writing
SK-2752,price,"currency symbol removed, 2dp",$22.45,22.45
SK-2760,category,matched to fixed category list,Paper and Office,Paper & Office
SK-2768,category,matched to fixed category list,filing,Filing
SK-2776,product_name,standardised casing/spacing,Wooden Desk Organiser,Wooden Desk Organiser
SK-2776,category,matched to fixed category list,DESK,Desk
SK-2776,price,"currency symbol removed, 2dp",$74.37,74.37
SK-2784,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE FOOLSCAP,Blue Lever Arch File Foolscap
SK-2784,category,matched to fixed category list,Filing/Storage,Filing
SK-2792,product_name,standardised casing/spacing,"Green Ballpoint, Medium","Green Ballpoint, Medium"
SK-2792,category,matched to fixed category list,writing tools,Writing
SK-2800,category,matched to fixed category list,Filing/Storage,Filing
SK-2808,category,matched to fixed category list,Desk Accessories,Desk
SK-2816,product_name,standardised casing/spacing,Copier Paper Letter 120gsm,Copier Paper Letter 120gsm
SK-2816,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2824,category,matched to fixed category list,DESK,Desk
SK-2832,product_name,standardised casing/spacing,Mesh  Desk  Organiser,Mesh Desk Organiser
SK-2832,category,matched to fixed category list,DESK,Desk
SK-2832,price,"currency symbol removed, 2dp",$85.55,85.55
SK-2840,product_name,standardised casing/spacing,Copier  Paper  A5  80gsm,Copier Paper A5 80gsm
SK-2840,category,matched to fixed category list,paper&office,Paper & Office
SK-2848,product_name,standardised casing/spacing,"Red Ballpoint, Fine","Red Ballpoint, Fine"
SK-2848,category,matched to fixed category list,WRITING,Writing
SK-2856,product_name,standardised casing/spacing,Green Lever Arch File A4,Green Lever Arch File A4
SK-2856,category,matched to fixed category list,filing & storage,Filing
SK-2864,product_name,standardised casing/spacing,steel desk organiser,Steel Desk Organiser
SK-2864,category,matched to fixed category list,DESK,Desk
SK-2872,category,matched to fixed category list,paper & office,Paper & Office
SK-2880,product_name,standardised casing/spacing,copier paper a5 120gsm,Copier Paper A5 120gsm
SK-2880,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-2880,price,"currency symbol removed, 2dp",$35.61,35.61
SK-2888,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-2888,category,matched to fixed category list,DESK,Desk
SK-2896,product_name,standardised casing/spacing,green lever arch file foolscap,Green Lever Arch File Foolscap
SK-2896,category,matched to fixed category list,filing,Filing
SK-2896,price,"currency symbol removed, 2dp",$86.42,86.42
SK-2904,product_name,standardised casing/spacing,"BLUE BALLPOINT, BROAD","Blue Ballpoint, Broad"
SK-2904,category,matched to fixed category list,WRITING,Writing
SK-2904,price,"currency symbol removed, 2dp",$44.49,44.49
SK-2912,product_name,standardised casing/spacing,Copier  Paper  A5  120gsm,Copier Paper A5 120gsm
SK-2912,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2912,price,"currency symbol removed, 2dp",$18.59,18.59
SK-2920,product_name,standardised casing/spacing,"Red Ballpoint, Fine","Red Ballpoint, Fine"
SK-2920,category,matched to fixed category list,Writing,Writing
SK-2928,category,matched to fixed category list,FILING,Filing
SK-2936,product_name,standardised casing/spacing,copier paper a4 100gsm,Copier Paper A4 100gsm
SK-2936,category,matched to fixed category list,paper & office,Paper & Office
SK-2936,price,"currency symbol removed, 2dp",$40.85,40.85
SK-2944,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-2944,category,matched to fixed category list,desk acc.,Desk
SK-2944,price,"currency symbol removed, 2dp",$13.54,13.54
SK-2952,product_name,standardised casing/spacing,Blue  Lever  Arch  File  A4,Blue Lever Arch File A4
SK-2952,category,matched to fixed category list,FILING,Filing
SK-2960,category,matched to fixed category list,writing,Writing
SK-2968,category,matched to fixed category list,Paper/Office,Paper & Office
SK-2976,category,matched to fixed category list,WRITING,Writing
SK-2984,product_name,standardised casing/spacing,"green ballpoint, medium","Green Ballpoint, Medium"
SK-2984,category,matched to fixed category list,WRITING,Writing
SK-2992,category,matched to fixed category list,WRITING,Writing
SK-2992,price,"currency symbol removed, 2dp",$47.17,47.17
SK-3000,product_name,standardised casing/spacing,COPIER PAPER LEGAL 70GSM,Copier Paper Legal 70gsm
SK-3000,category,matched to fixed category list,paper&office,Paper & Office
SK-3008,category,matched to fixed category list,desk acc.,Desk
SK-3016,product_name,standardised casing/spacing,copier paper letter 120gsm,Copier Paper Letter 120gsm
SK-3016,category,matched to fixed category list,paper & office,Paper & Office
SK-3024,product_name,standardised casing/spacing,blue lever arch file a4,Blue Lever Arch File A4
SK-3024,category,matched to fixed category list,FILING,Filing
SK-3032,product_name,standardised casing/spacing,Wooden Desk Organiser,Wooden Desk Organiser
SK-3032,category,matched to fixed category list,desk,Desk
SK-3040,product_name,standardised casing/spacing,"Red Ballpoint, Broad","Red Ballpoint, Broad"
SK-3040,category,matched to fixed category list,WRITING,Writing
SK-3040,price,"currency symbol removed, 2dp",$21.28,21.28
SK-3048,product_name,standardised casing/spacing,"green ballpoint, fine","Green Ballpoint, Fine"
SK-3048,category,matched to fixed category list,Writing,Writing
SK-3056,product_name,standardised casing/spacing,Copier  Paper  Letter  70gsm,Copier Paper Letter 70gsm
SK-3056,category,matched to fixed category list,paper&office,Paper & Office
SK-3056,price,"currency symbol removed, 2dp",$7.82,7.82
SK-3064,product_name,standardised casing/spacing,BLACK LEVER ARCH FILE A4,Black Lever Arch File A4
SK-3064,category,matched to fixed category list,FILING,Filing
SK-3072,product_name,standardised casing/spacing,WOODEN DESK ORGANISER,Wooden Desk Organiser
SK-3072,category,matched to fixed category list,desk acc.,Desk
SK-3080,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-3080,category,matched to fixed category list,DESK,Desk
SK-3088,category,matched to fixed category list,DESK,Desk
SK-3096,product_name,standardised casing/spacing,Blue  Lever  Arch  File  Foolscap,Blue Lever Arch File Foolscap
SK-3096,category,matched to fixed category list,FILING,Filing
SK-3104,category,matched to fixed category list,Filing/Storage,Filing
SK-3112,product_name,standardised casing/spacing,"Red  Ballpoint,  Fine","Red Ballpoint, Fine"
SK-3112,category,matched to fixed category list,writing,Writing
SK-3120,product_name,standardised casing/spacing,"BLACK BALLPOINT, MEDIUM","Black Ballpoint, Medium"
SK-3120,category,matched to fixed category list,Writing,Writing
SK-3128,category,matched to fixed category list,filing & storage,Filing
SK-3128,price,"currency symbol removed, 2dp",$33.73,33.73
SK-3136,product_name,standardised casing/spacing,copier paper a5 120gsm,Copier Paper A5 120gsm
SK-3136,category,matched to fixed category list,paper & office,Paper & Office
SK-3136,price,"currency symbol removed, 2dp",$86.25,86.25
SK-3144,product_name,standardised casing/spacing,Mesh Desk Organiser,Mesh Desk Organiser
SK-3144,category,matched to fixed category list,DESK,Desk
SK-3144,price,"currency symbol removed, 2dp",$50.76,50.76
SK-3152,product_name,standardised casing/spacing,Copier Paper Legal 80gsm,Copier Paper Legal 80gsm
SK-3152,category,matched to fixed category list,Paper and Office,Paper & Office
SK-3152,price,"currency symbol removed, 2dp",82.1,82.10
SK-3160,product_name,standardised casing/spacing,Steel  Desk  Organiser,Steel Desk Organiser
SK-3160,category,matched to fixed category list,desk,Desk
SK-3168,category,matched to fixed category list,writing tools,Writing
SK-3168,price,"currency symbol removed, 2dp",$76.93,76.93
SK-3176,product_name,standardised casing/spacing,Copier  Paper  Letter  70gsm,Copier Paper Letter 70gsm
SK-3176,category,matched to fixed category list,paper & office,Paper & Office
SK-3184,product_name,standardised casing/spacing,Mesh Desk Organiser,Mesh Desk Organiser
SK-3184,category,matched to fixed category list,DESK,Desk
SK-3192,product_name,standardised casing/spacing,"Blue Ballpoint, Medium","Blue Ballpoint, Medium"
SK-3192,category,matched to fixed category list,WRITING,Writing
SK-3200,product_name,standardised casing/spacing,Blue Lever Arch File A4,Blue Lever Arch File A4
SK-3200,category,matched to fixed category list,Filing/Storage,Filing
SK-3208,product_name,standardised casing/spacing,"Black  Ballpoint,  Fine","Black Ballpoint, Fine"
SK-3208,category,matched to fixed category list,Writing,Writing
SK-3216,product_name,standardised casing/spacing,COPIER PAPER LETTER 70GSM,Copier Paper Letter 70gsm
SK-3216,category,matched to fixed category list,Paper and Office,Paper & Office
SK-3224,product_name,standardised casing/spacing,green lever arch file foolscap,Green Lever Arch File Foolscap
SK-3224,category,matched to fixed category list,FILING,Filing
SK-3232,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-3232,category,matched to fixed category list,DESK,Desk
SK-3240,category,matched to fixed category list,Desk Accessories,Desk
SK-3248,product_name,standardised casing/spacing,blue lever arch file foolscap,Blue Lever Arch File Foolscap
SK-3248,category,matched to fixed category list,filing,Filing
SK-3256,product_name,standardised casing/spacing,"Blue  Ballpoint,  Medium","Blue Ballpoint, Medium"
SK-3256,category,matched to fixed category list,WRITING,Writing
SK-3264,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE A4,Green Lever Arch File A4
SK-3264,category,matched to fixed category list,Filing/Storage,Filing
SK-3272,product_name,standardised casing/spacing,Copier  Paper  Letter  70gsm,Copier Paper Letter 70gsm
SK-3272,category,matched to fixed category list,paper&office,Paper & Office
SK-3280,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE A4,Blue Lever Arch File A4
SK-3280,category,matched to fixed category list,Filing/Storage,Filing
SK-3288,product_name,standardised casing/spacing,Copier Paper Legal 80gsm,Copier Paper Legal 80gsm
SK-3288,category,matched to fixed category list,paper&office,Paper & Office
SK-3296,product_name,standardised casing/spacing,"red ballpoint, medium","Red Ballpoint, Medium"
SK-3296,category,matched to fixed category list,WRITING,Writing
SK-3304,product_name,standardised casing/spacing,"BLACK BALLPOINT, FINE","Black Ballpoint, Fine"
SK-3304,category,matched to fixed category list,writing tools,Writing
SK-3312,category,matched to fixed category list,desk acc.,Desk
SK-3312,price,"currency symbol removed, 2dp",35.5,35.50
SK-3320,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-3320,category,matched to fixed category list,Desk Accessories,Desk
SK-3328,product_name,standardised casing/spacing,COPIER PAPER A3 100GSM,Copier Paper A3 100gsm
SK-3328,category,matched to fixed category list,Paper and Office,Paper & Office
SK-3336,product_name,standardised casing/spacing,copier paper a4 120gsm,Copier Paper A4 120gsm
SK-3336,category,matched to fixed category list,paper & office,Paper & Office
SK-3344,product_name,standardised casing/spacing,COPIER PAPER LEGAL 120GSM,Copier Paper Legal 120gsm
SK-3344,category,matched to fixed category list,Paper/Office,Paper & Office
SK-3352,product_name,standardised casing/spacing,"Blue Ballpoint, Broad","Blue Ballpoint, Broad"
SK-3352,category,matched to fixed category list,writing tools,Writing
SK-3360,product_name,standardised casing/spacing,"Green Ballpoint, Broad","Green Ballpoint, Broad"
SK-3360,category,matched to fixed category list,writing,Writing
SK-3360,price,"currency symbol removed, 2dp",$85.61,85.61
SK-3368,category,matched to fixed category list,paper&office,Paper & Office
SK-3376,category,matched to fixed category list,WRITING,Writing
SK-3376,price,"currency symbol removed, 2dp",$2.97,2.97
SK-3384,category,matched to fixed category list,writing,Writing
SK-3392,category,matched to fixed category list,Filing/Storage,Filing
SK-3400,product_name,standardised casing/spacing,Copier Paper Legal 70gsm,Copier Paper Legal 70gsm
SK-3400,category,matched to fixed category list,paper&office,Paper & Office
SK-3400,price,"currency symbol removed, 2dp",89.5,89.50
SK-3408,product_name,standardised casing/spacing,steel desk organiser,Steel Desk Organiser
SK-3408,category,matched to fixed category list,desk,Desk
SK-3416,category,matched to fixed category list,Filing/Storage,Filing
SK-3424,category,matched to fixed category list,paper&office,Paper & Office
SK-3424,price,"currency symbol removed, 2dp",$69.53,69.53
SK-3432,product_name,standardised casing/spacing,"blue ballpoint, medium","Blue Ballpoint, Medium"
SK-3432,category,matched to fixed category list,writing tools,Writing
SK-3440,product_name,standardised casing/spacing,"blue ballpoint, fine","Blue Ballpoint, Fine"
SK-3440,category,matched to fixed category list,Writing,Writing
SK-3440,price,"currency symbol removed, 2dp",$58.08,58.08
SK-3448,product_name,standardised casing/spacing,GREY LEVER ARCH FILE A4,Grey Lever Arch File A4
SK-3448,category,matched to fixed category list,filing & storage,Filing
SK-3456,product_name,standardised casing/spacing,Mesh Desk Organiser,Mesh Desk Organiser
SK-3456,category,matched to fixed category list,desk,Desk
SK-3456,price,"currency symbol removed, 2dp",$58.86,58.86
SK-3464,product_name,standardised casing/spacing,Acrylic  Desk  Organiser,Acrylic Desk Organiser
SK-3464,category,matched to fixed category list,Desk Accessories,Desk
SK-3464,price,"currency symbol removed, 2dp",$69.77,69.77
SK-3472,product_name,standardised casing/spacing,GREY LEVER ARCH FILE FOOLSCAP,Grey Lever Arch File Foolscap
SK-3472,category,matched to fixed category list,Filing/Storage,Filing
SK-3472,price,"currency symbol removed, 2dp",$74.76,74.76
SK-3480,category,matched to fixed category list,Filing/Storage,Filing
SK-3488,category,matched to fixed category list,paper & office,Paper & Office
SK-3496,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE FOOLSCAP,Green Lever Arch File Foolscap
SK-3496,category,matched to fixed category list,FILING,Filing
SK-3504,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-3504,price,"currency symbol removed, 2dp",$28.00,28.00
SK-3512,product_name,standardised casing/spacing,"BLUE BALLPOINT, FINE","Blue Ballpoint, Fine"
SK-3512,category,matched to fixed category list,Writing,Writing
SK-3520,category,matched to fixed category list,Filing/Storage,Filing
SK-3528,product_name,standardised casing/spacing,COPIER PAPER A4 120GSM,Copier Paper A4 120gsm
SK-3528,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-3528,price,"currency symbol removed, 2dp",$77.00,77.00
SK-3536,product_name,standardised casing/spacing,"GREEN BALLPOINT, BROAD","Green Ballpoint, Broad"
SK-3536,category,matched to fixed category list,Writing,Writing
SK-3536,price,"currency symbol removed, 2dp",$44.32,44.32
SK-3544,product_name,standardised casing/spacing,Copier Paper A4 120gsm,Copier Paper A4 120gsm
SK-3544,category,matched to fixed category list,paper&office,Paper & Office
SK-3552,product_name,standardised casing/spacing,GREY LEVER ARCH FILE A4,Grey Lever Arch File A4
SK-3552,category,matched to fixed category list,filing & storage,Filing
SK-3560,category,matched to fixed category list,filing & storage,Filing
SK-3568,product_name,standardised casing/spacing,Wooden Desk Organiser,Wooden Desk Organiser
SK-3568,category,matched to fixed category list,Desk Accessories,Desk
SK-3576,product_name,standardised casing/spacing,Wooden  Desk  Organiser,Wooden Desk Organiser
SK-3576,category,matched to fixed category list,DESK,Desk
SK-3576,price,"currency symbol removed, 2dp",$42.64,42.64
SK-3584,category,matched to fixed category list,filing,Filing
SK-3592,product_name,standardised casing/spacing,black lever arch file foolscap,Black Lever Arch File Foolscap
SK-3592,category,matched to fixed category list,filing & storage,Filing
SK-3592,price,"currency symbol removed, 2dp",$35.30,35.30
SK-3600,category,matched to fixed category list,DESK,Desk
SK-3608,product_name,standardised casing/spacing,copier paper a5 80gsm,Copier Paper A5 80gsm
SK-3608,category,matched to fixed category list,paper & office,Paper & Office
SK-3608,price,"currency symbol removed, 2dp",$55.00,55.00
SK-3616,product_name,standardised casing/spacing,"BLUE BALLPOINT, BROAD","Blue Ballpoint, Broad"
SK-3616,category,matched to fixed category list,Writing,Writing
SK-3624,product_name,standardised casing/spacing,COPIER PAPER A4 100GSM,Copier Paper A4 100gsm
SK-3624,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-3632,product_name,standardised casing/spacing,Copier Paper A4 70gsm,Copier Paper A4 70gsm
SK-3632,category,matched to fixed category list,paper & office,Paper & Office
SK-3640,category,matched to fixed category list,WRITING,Writing
SK-3648,category,matched to fixed category list,DESK,Desk
SK-3648,price,"currency symbol removed, 2dp",$45.03,45.03
SK-3656,category,matched to fixed category list,Desk Accessories,Desk
SK-3656,price,"currency symbol removed, 2dp",$41.72,41.72
SK-3664,product_name,standardised casing/spacing,Steel  Desk  Organiser,Steel Desk Organiser
SK-3664,category,matched to fixed category list,desk,Desk
SK-3664,price,"currency symbol removed, 2dp",$72.86,72.86
SK-3672,product_name,standardised casing/spacing,"Black Ballpoint, Broad","Black Ballpoint, Broad"
SK-3672,category,matched to fixed category list,writing,Writing
SK-3680,product_name,standardised casing/spacing,Copier  Paper  A4  100gsm,Copier Paper A4 100gsm
SK-3680,category,matched to fixed category list,Paper/Office,Paper & Office
SK-3688,product_name,standardised casing/spacing,BLACK LEVER ARCH FILE A4,Black Lever Arch File A4
SK-3688,category,matched to fixed category list,filing & storage,Filing
SK-3696,category,matched to fixed category list,Paper/Office,Paper & Office
SK-3704,category,matched to fixed category list,filing,Filing
SK-3712,product_name,standardised casing/spacing,Black  Lever  Arch  File  Foolscap,Black Lever Arch File Foolscap
SK-3712,category,matched to fixed category list,filing,Filing
SK-3712,price,"currency symbol removed, 2dp",$42.36,42.36
SK-3720,product_name,standardised casing/spacing,Copier  Paper  Letter  70gsm,Copier Paper Letter 70gsm
SK-3720,category,matched to fixed category list,paper&office,Paper & Office
SK-3728,category,matched to fixed category list,desk,Desk
SK-3736,product_name,standardised casing/spacing,steel desk organiser,Steel Desk Organiser
SK-3736,category,matched to fixed category list,DESK,Desk
SK-3736,price,"currency symbol removed, 2dp",$11.73,11.73
SK-3744,category,matched to fixed category list,WRITING,Writing
SK-3752,product_name,standardised casing/spacing,mesh desk organiser,Mesh Desk Organiser
SK-3752,category,matched to fixed category list,desk acc.,Desk
SK-3760,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-3760,price,"currency symbol removed, 2dp",$17.90,17.90
SK-3768,category,matched to fixed category list,Paper/Office,Paper & Office
SK-3768,price,"currency symbol removed, 2dp",$89.36,89.36
SK-3776,category,matched to fixed category list,writing tools,Writing
SK-3784,product_name,standardised casing/spacing,copier paper a4 70gsm,Copier Paper A4 70gsm
SK-3784,category,matched to fixed category list,paper&office,Paper & Office
SK-3792,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE FOOLSCAP,Blue Lever Arch File Foolscap
SK-3792,category,matched to fixed category list,Filing/Storage,Filing
SK-3800,category,matched to fixed category list,filing & storage,Filing
SK-3808,product_name,standardised casing/spacing,"red ballpoint, fine","Red Ballpoint, Fine"
SK-3808,category,matched to fixed category list,WRITING,Writing
SK-3808,price,"currency symbol removed, 2dp",$23.27,23.27
SK-3816,category,matched to fixed category list,desk acc.,Desk
SK-3824,product_name,standardised casing/spacing,COPIER PAPER A4 100GSM,Copier Paper A4 100gsm
SK-3824,category,matched to fixed category list,Paper/Office,Paper & Office
SK-3832,product_name,standardised casing/spacing,"Red  Ballpoint,  Fine","Red Ballpoint, Fine"
SK-3832,category,matched to fixed category list,WRITING,Writing
SK-3840,product_name,standardised casing/spacing,black lever arch file a4,Black Lever Arch File A4
SK-3840,category,matched to fixed category list,Filing/Storage,Filing
SK-3848,product_name,standardised casing/spacing,Wooden Desk Organiser,Wooden Desk Organiser
SK-3848,category,matched to fixed category list,DESK,Desk
SK-3856,product_name,standardised casing/spacing,"BLACK BALLPOINT, BROAD","Black Ballpoint, Broad"
SK-3856,category,matched to fixed category list,writing tools,Writing
SK-3864,category,matched to fixed category list,writing tools,Writing
SK-3872,category,matched to fixed category list,filing & storage,Filing
SK-3880,product_name,standardised casing/spacing,"Blue  Ballpoint,  Broad","Blue Ballpoint, Broad"
SK-3880,category,matched to fixed category list,writing,Writing
SK-3888,category,matched to fixed category list,WRITING,Writing
SK-3896,product_name,standardised casing/spacing,BLACK LEVER ARCH FILE A4,Black Lever Arch File A4
SK-3896,category,matched to fixed category list,filing,Filing
SK-3904,product_name,standardised casing/spacing,"red ballpoint, broad","Red Ballpoint, Broad"
SK-3904,category,matched to fixed category list,WRITING,Writing
SK-3912,category,matched to fixed category list,paper&office,Paper & Office
SK-3920,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE FOOLSCAP,Blue Lever Arch File Foolscap
SK-3920,category,matched to fixed category list,filing & storage,Filing
SK-3928,product_name,standardised casing/spacing,Blue  Lever  Arch  File  Foolscap,Blue Lever Arch File Foolscap
SK-3928,category,matched to fixed category list,filing & storage,Filing
SK-3936,product_name,standardised casing/spacing,Copier  Paper  A5  100gsm,Copier Paper A5 100gsm
SK-3936,category,matched to fixed category list,Paper and Office,Paper & Office
SK-3936,price,"currency symbol removed, 2dp",$51.97,51.97
SK-3944,product_name,standardised casing/spacing,grey lever arch file foolscap,Grey Lever Arch File Foolscap
SK-3944,category,matched to fixed category list,Filing/Storage,Filing
SK-3952,product_name,standardised casing/spacing,copier paper legal 120gsm,Copier Paper Legal 120gsm
SK-3952,category,matched to fixed category list,Paper and Office,Paper & Office
SK-3960,product_name,standardised casing/spacing,Copier  Paper  A4  80gsm,Copier Paper A4 80gsm
SK-3960,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-3968,product_name,standardised casing/spacing,wooden desk organiser,Wooden Desk Organiser
SK-3968,category,matched to fixed category list,desk acc.,Desk
SK-3976,category,matched to fixed category list,Desk Accessories,Desk
SK-3976,price,"currency symbol removed, 2dp",$24.09,24.09
SK-3984,product_name,standardised casing/spacing,WOODEN DESK ORGANISER,Wooden Desk Organiser
SK-3984,category,matched to fixed category list,DESK,Desk
SK-3992,product_name,standardised casing/spacing,"black ballpoint, broad","Black Ballpoint, Broad"
SK-3992,category,matched to fixed category list,WRITING,Writing
SK-3992,price,"currency symbol removed, 2dp",$84.28,84.28
SK-4000,category,matched to fixed category list,filing & storage,Filing
SK-4008,category,matched to fixed category list,paper&office,Paper & Office
SK-4008,price,"currency symbol removed, 2dp",$48.45,48.45
SK-4016,category,matched to fixed category list,desk acc.,Desk
SK-4024,product_name,standardised casing/spacing,COPIER PAPER A5 120GSM,Copier Paper A5 120gsm
SK-4024,category,matched to fixed category list,paper & office,Paper & Office
